YEAR,WINNERS,COUNTRY
1956,REAL MADRID,SPAIN
1957,REAL MADRID,SPAIN
1958,REAL MADRID,SPAIN
1959,REAL MADRID,SPAIN
1960,REAL MADRID,SPAIN
1961,BENFICA,PORTUGAL
1962,BENFICA,PORTUGAL
1963,MILAN,ITALY
1964,INTER MILAN,ITALY
1965,INTER MILAN,ITALY
1966,REAL MADRID,SPAIN
1967,CELTIC,SCOTLAND
1968,MANCHESTER UNITED,ENGLAND
1969,MILAN,ITALY
1970,FEYENOORD,NETHERLANDS
1971,AJAX,NETHERLANDS
1972,AJAX,NETHERLANDS
1973,AJAX,NETHERLANDS
1974,BAYERN MUNICH,WEST GERMANY
1975,BAYERN MUNICH,WEST GERMANY
1976,BAYERN MUNICH,WEST GERMANY
1977,LIVERPOOL,ENGLAND
1978,LIVERPOOL,ENGLAND
1979,NOTTINGHAM FOREST,ENGLAND
1980,NOTTINGHAM FOREST,ENGLAND
1981,LIVERPOOL,ENGLAND
1982,ASTON VILLA,ENGLAND
1983,HAMBURGER SV,WEST GERMANY
1984,LIVERPOOL,ENGLAND
1985,JUVENTUS,ITALY
1986,STEAUA BUCUREÈ˜TI,ROMANIA
1987,PORTO,PORTUGAL
1988,PSV EINDHOVEN,NETHERLANDS
1989,MILAN,ITALY
1990,MILAN,ITALY
1991,RED STAR BELGRADE,YUGOSLAVIA
1992,BARCELONA,SPAIN
1993,MARSEILLE,FRANCE
1994,MILAN,ITALY
1995,AJAX,NETHERLANDS
1996,JUVENTUS,ITALY
1997,BORUSSIA DORTMUND,GERMANY
1998,REAL MADRID,SPAIN
1999,MANCHESTER UNITED,ENGLAND
2000,REAL MADRID,SPAIN
2001,BAYERN MUNICH,GERMANY
2002,REAL MADRID,SPAIN
2003,MILAN,ITALY
2004,PORTO,PORTUGAL
2005,LIVERPOOL,ENGLAND
2006,BARCELONA,SPAIN
2007,MILAN,ITALY
2008,MANCHESTER UNITED,ENGLAND
2009,BARCELONA,SPAIN
2010,INTER MILAN,ITALY
2011,BARCELONA,SPAIN
2012,CHELSEA,ENGLAND
2013,BAYERN MUNICH,GERMANY
2014,REAL MADRID,SPAIN
2015,BARCELONA,SPAIN
2016,REAL MADRID,SPAIN
2017,REAL MADRID,SPAIN
2018,REAL MADRID,SPAIN
2019,LIVERPOOL,ENGLAND
2020,BAYERN MUNICH,GERMANY
2021,CHELSEA,ENGLAND
2022,REAL MADRID,SPAIN
2023,MANCHESTER CITY,ENGLAND
