Service_name,"EC2 Instances($)","Route 53($)","EC2-Other($)","Tax($)","VPC($)","Relational Database Service($)","Elastic Load Balancing($)","S3($)","Key Management Service($)","Systems Manager($)","Elastic File System($)","ElastiCache($)","SNS($)","CloudWatch($)","Lambda($)","Service Catalog($)","DynamoDB($)","SQS($)","Total costs($)"
"Service_total","2.0252792276","1.0000024","0.9096590039","0.88","0.79482918","0.1577409011","0.11641446","4.5e-9","0","0","0","0","0","0","0","0","0","0","5.8839251771"
"2022-08-01","","","","","","","","","","","","","","","","","","","0"
"2022-09-01","","","","","","","","","","","","","","","","","","","0"
"2022-10-01","0","","0.0000019853","","","","0.0000000107","","0","0","0","","","","","","","","0.000001996"
"2022-11-01","0","","0.0191242614","0","","0.006833306","0.0000000374","0.0000000045","0","","0","0","0","0","","","","","0.0259576093"
"2022-12-01","0","0.5000024","0.3230828981","0.15","","0","0.0000001522","0","0","","","","0","0","0","0","0","0","0.9730854503"
"2023-01-01","0","0.5","0.0000002788","0.09","","","0","","0","","","","0","0","","0","","","0.5900002788"
"2023-02-01","0","","0.0000000952","0","","","","","","","","","","0","","","","","9.52e-8"
"2023-03-01","0","","0","0","","","","","0","","","","","0","","","","","0"
"2023-04-01","0","","0.0000000394","0","","","","","","","","","","0","","","","","3.94e-8"
"2023-05-01","","","","0","","","","","","","","","","0","","","","","0"
"2023-06-01","","","","0","","","","","","","","","","0","","","","","0"
"2023-07-01","0","","0","0","0","0.0085199433","","0","0","","","","","0","","","","","0.0085199433"
"2023-08-01","0","","0.0000004079","0","0","0.003782762","","","0","","","","","0","","","","","0.0037831699"
"2023-09-01","0","","0.0000196852","0","0","0","0","","0","","","","","0","","","","","0.0000196852"
"2023-10-01","0","","0.0000000216","0","0","0","","","0","","","","","0","","","","","2.16e-8"
"2023-11-01","0.1905654264","","0.0215051924","0.07","0","0.0599269629","0.0925091344","","0","","","","0","0","","","","","0.4345067161"
"2023-12-01","","","","0","","","","","","","","","","0","","","","","0"
"2024-01-01","","","","0","","","","","","","","","","0","","","","","0"
"2024-02-01","0.2324350928","","0.010507158","0.05","0.045695845","","","","0","","","","","0","","0","","","0.3386380958"
"2024-03-01","0.6303796016","","0.3170704969","0.23","0.30021943","0.0786779269","","","0","","","","0","0","","","","","1.5563474554"
"2024-04-01","0.9718991068","","0.2183464837","0.29","0.448913905","","0.0239051253","","","","","","0","0","","","","","1.9530646208"